Kode,Industri,Market Cap
SBAT,Consumer Cyclicals,4752982528.0
CBMF,Consumer Cyclicals,93750001664.0
CSMI,Consumer Cyclicals,116696793088.0
SOFA,Consumer Cyclicals,790408593408.0
TOYS,Consumer Cyclicals,11480005632.0
SCNP,Consumer Cyclicals,480000016384.0
PLAN,Consumer Cyclicals,76220309504.0
UFOE,Consumer Cyclicals,507195817984.0
SNLK,Consumer Cyclicals,162900000768.0
LFLO,Consumer Cyclicals,725792849920.0
LUCY,Consumer Cyclicals,2628132798464.0
MGLV,Consumer Cyclicals,5905138581504.0
IDEA,Consumer Cyclicals,146616369152.0
DEPO,Consumer Cyclicals,1697499971584.0
DRMA,Consumer Cyclicals,4870587809792.0
ASLC,Consumer Cyclicals,1057947451392.0
NETV,Consumer Cyclicals,5045983117312.0
BAUT,Consumer Cyclicals,211208044544.0
ENAK,Consumer Cyclicals,1083333345280.0
BIKE,Consumer Cyclicals,597789376512.0
OLIV,Consumer Cyclicals,104504033280.0
SWID,Consumer Cyclicals,710822592512.0
RAFI,Consumer Cyclicals,115741196288.0
KLIN,Consumer Cyclicals,222280155136.0
TOOL,Consumer Cyclicals,129151279104.0
KDTN,Consumer Cyclicals,1500027944960.0
ZATA,Consumer Cyclicals,1062000001024.0
ISAP,Consumer Cyclicals,152772804608.0
BMBL,Consumer Cyclicals,62834941952.0
FUTR,Consumer Cyclicals,2601136160768.0
HAJJ,Consumer Cyclicals,394927636480.0
TYRE,Consumer Cyclicals,414189223936.0
VKTR,Consumer Cyclicals,39156247953408.0
CNMA,Consumer Cyclicals,9417984573440.0
ERAL,Consumer Cyclicals,2012750020608.0
LMAX,Consumer Cyclicals,104651415552.0
BABY,Consumer Cyclicals,847657500672.0
AEGS,Consumer Cyclicals,70425649152.0
GRPH,Consumer Cyclicals,57000001536.0
UNTD,Consumer Cyclicals,573333307392.0
MEJA,Consumer Cyclicals,245922299904.0
LIVE,Consumer Cyclicals,1148251275264.0
BAIK,Consumer Cyclicals,465767399424.0
SPRE,Consumer Cyclicals,113600004096.0
PART,Consumer Cyclicals,375682760704.0
