Ticker,Industry,trailingPE,forwardPE,pegRatio,priceToBook,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,freeCashflow,operatingCashflow,revenueGrowth,earningsGrowth,averageVolume,volume,marketCap,regularMarketPrice,avg_value_traded,fundamental_score
AMRT,Consumer Non-Cyclicals,18.1486,12.468619,,3.433235,0.19195999,0.06956,0.02691,0.04962,13.984,1.066,0.399,3707652014080,7674891075584,0.075,0.464,40542428,26768700,61299585187840,1490.0,60408217720.0,467.98264340480426
BWPT,Consumer Non-Cyclicals,10.671257,,,1.3839285,0.14362,0.07547,0.06278,0.20865999,160.208,0.669,0.27,463796502528,1340726050816,0.142,0.112,112165885,61509600,3859173605376,124.0,13908569740.0,393.6473242445671
CPIN,Consumer Non-Cyclicals,12.7877245,19.15292,,2.1136165,0.17516,0.11468001,0.07982,0.15759,19.508,3.223,1.002,2162679349248,5773900906496,0.132,0.718,10690903,6553700,72151197548544,4400.0,47039973200.0,509.40952994954074
CPRO,Consumer Non-Cyclicals,7.9710145,,,0.86492944,0.11524,0.07746,0.04259,0.06171,44.545,1.093,0.401,48524374016,369712988160,0.091,,221501537,35335700,3276481232896,55.0,12182584535.0,309.0786271167759
DSNG,Consumer Non-Cyclicals,9.560009,7.125993,,1.5327567,0.1698,0.101110004,0.14945,0.21729,35.259,1.353,0.42,660298727424,2751834882048,0.143,0.857,12828926,3251800,17595738619904,1660.0,21296017160.0,535.6647566565429
GGRM,Consumer Non-Cyclicals,18.05054,7.483227,,0.4489805,0.02506,0.022,0.01742,0.042600002,1.218,3.677,0.517,8742206177280,11605865660416,-0.11,,1062426,297600,28091686584320,14600.0,15511419600.0,425.0735659418498
GZCO,Consumer Non-Cyclicals,11.361079,,,1.0254536,0.087349996,0.041810002,0.12069,0.28487,14.229,0.574,0.331,69869625344,92143001600,-0.263,0.243,28568767,20272000,1167491465216,202.0,5770890934.0,355.34416979545125
HMSP,Consumer Non-Cyclicals,13.245614,11.310862,,3.0976264,0.23311001,0.109639995,0.13619,0.14959,1.465,1.763,0.44,8008038875136,7409433051136,-0.118,0.476,61281521,15619500,87820144214016,755.0,46267548355.0,509.68787797662566
ICBP,Consumer Non-Cyclicals,9.319634,8.144132,,0.88251674,0.11525,0.07959,0.12324,0.24978,1.25,4.153,3.403,2910282317824,12104426848256,0.086,,8125508,3243900,86006569107456,7375.0,59925621500.0,477.55178804070806
INDF,Consumer Non-Cyclicals,5.506608,5.1538067,,0.80425155,0.13573,0.07072,0.08652,0.20076999,62.456,2.132,1.62,10706135023616,19540729659392,0.127,,22251819,11637300,58828854919168,6700.0,149087187300.0,575.1986334201152
JPFA,Consumer Non-Cyclicals,7.530164,12.479523,,1.6135906,0.23401,0.10068,0.06595,0.12687,59.254,1.294,0.409,839119273984,5012139802624,0.213,0.725,26912698,10096700,30115664756736,2590.0,69703887820.0,525.8631132207204
LSIP,Consumer Non-Cyclicals,5.19743,7.7669907,,0.7014846,0.14208001,0.08297,0.3425,0.45431998,0.002,9.452,8.501,1981756735488,3015732887552,-0.051,-0.049,14506475,3986100,9820747857920,1440.0,20889324000.0,623.1540246348924
MIDI,Consumer Non-Cyclicals,13.496415,14.324082,,2.3556952,0.17491,0.06767,0.03839,0.0372,12.336,1.02,0.241,742176653312,1657238061056,0.032,1.534,22395019,5013400,10699294113792,320.0,7166406080.0,528.0693295107817
MYOR,Consumer Non-Cyclicals,14.792899,11.852036,,2.3301933,0.16409999,0.07617,0.07407,0.116009995,45.676,3.378,2.323,1524355301376,3513527304192,0.105,0.03,13609426,18219200,42173613473792,1900.0,25857909400.0,452.8454775499311
SGRO,Consumer Non-Cyclicals,17.54386,30.271074,,1.7610525,0.09043,0.05816,0.05579,-0.22062999,59.454,1.939,1.495,893039017984,1981415948288,-0.151,,1309341,90300,8874874634240,4880.0,6389584080.0,347.0082035551756
SIMP,Consumer Non-Cyclicals,5.0,13.683128,,0.5042287,0.111549996,0.0647,0.09821,0.22744,35.858,1.274,0.826,3136972914688,3434868899840,0.298,-0.127,12606676,9245100,10308371349504,665.0,8383439540.0,528.8898785480658
ULTJ,Consumer Non-Cyclicals,11.614491,10.500695,,1.9099926,0.17499,0.11465,0.15435,0.19327,0.523,6.594,5.032,983071719424,1693908992000,0.104,0.536,4987375,1425600,15701244903424,1510.0,7530936250.0,548.6363489917878
UNVR,Consumer Non-Cyclicals,20.660713,18.07229,,16.295492,1.06796,0.15916,0.23921,0.14375,14.409,0.741,0.524,5962408656896,5797495963648,,,29145223,8206300,72923964506112,1920.0,55958828160.0,398.1705732433533
WIIM,Consumer Non-Cyclicals,8.968388,5.618065,,1.717626,0.20304,0.11168,0.065689996,0.04591,15.335,2.627,0.583,-19126747136,362498162688,0.382,0.467,6426025,2276600,3757149782016,1810.0,11631105250.0,474.3360321435552
VICI,Consumer Non-Cyclicals,22.727272,,,3.378337,0.12923999,0.088120006,0.09693,0.068720005,7.79,4.859,2.288,96535347200,185294274560,0.049,-0.593,11781739,490300,3689399975936,550.0,6479956450.0,291.6704581454259
